Taxonomy,Themes,or,,,,,,,,,,,,,,Not Include,,,,,閬囧埌xx锛屼紭鍏圱heme鏈韩
Urbanization ,Urbanization ,urbanizing,infrastructure,urban sprawl,population,,,,,,,,,,,,,,,,
Urbanization ,Countryside ,,,,,,,,,,,,,,,,,,,,
Urbanization ,Economy, currency ,mercantile,fiscal,capital,,,,,,,,,,,,,,,,
Urbanization ,Consumerism ,commercialism,capitalism,industrialism,business,,,,,,,,,,,,,,,,
Urbanization ,Architecture ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Technology,Interdisciplinary Research ,multidisciplinary,,,,,,,,,,,,,,,,,,,
Technology,Sci-Fi ,science fiction,space fiction,space odyssey,Frankenstein,,,,,,,,,,,,,,,,
Technology,Blockchain ,,,,,,,,,,,,,,,,,,,,
Technology,Bitcoin ,,,,,,,,,,,,,,,,,,,,Blockchain 
Technology,Artificial Intelligence ,AI,machine learning,big data,,,,,,,,,,,,,,,,,
Technology,Algorithm ,computation,computing,,,,,,,,,,,,,,,,,,
Technology,Post-human ,,,,,,,,,,,,,,,,,,,,
Technology,Internet ,cyberspace,World Wide Web,hyperspace,information infrastructure,online,net,,,,,,,,,,,,,,
Technology,Game ,play,,,,,,,,,,,,,,,,,,,
Technology,Social Media ,Facebook,WhatsApp,WeChat,Instagram,TikTok,,,,,,,,,,,,,,,
Technology,Virtual Reality ,VR,AR,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Ecology ,Biological Related ,biological,nutrition,ecology,evolutionism,environmental,BioArt,genetic,cloning,tissue,organisms,bacteria,microbe,,,microorganism,,,,,
Ecology ,Medical / Health ,medicinal,pharmaceutical,therapeutic,preventive,pathological,HIV,illness,sickness,disease,,,,,,,,,,,
Ecology ,Virus,disease,germ,pathogen,plague,disease,pathogen,,,,,,,,,,,,,,
Ecology ,Ethnographic Studies ,anthropology,field research,,,,,,,,,,,,,,,,,,
Ecology ,cybernetics,natural systems,generative ,systemic,evolutionary art,systems theory,,,,,,,,,,,,,,,
Ecology ,Environment and Ecology ,zoology,global warming,climate change,pollution,environmental,ecological,,,,,,,,,,,,,,
Ecology ,Disaster ,calamity,catastrophe,fire,flood,earthquake,hurricane,bioterrorism,tornado,,,,,,,,,,,,
Ecology ,Archeology ,paleontology,paleology,antiquarianism,prehistory,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Subculture ,Subculture ,,,,,,,,,,,,,,,,,,,,
Subculture ,Anarchism,anarchy,,,,,,,,,,,,,,,,,,,
Subculture ,Cosplayers,cosplay,,,,,,,,,,,,,,,,,,,
Subculture ,Imitation ,carbon copy,impersonation,replica,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Globalization ,Globalization ,global,,,,,,,,,,,,,,global warming,,,,,
Globalization ,Boundary ,,,,,,,,,,,,,,,,,,,,
Globalization ,Immigration / Migration,colonization,expatriation,,,,,,,,,,,,,,,,,,
Globalization ,Cross-cultural ,,,,,,,,,,,,,,,,,,,,
Globalization ,Language / Translation ,translation,accent,language,dialect,,,,,,,,,,,,,,,,
Globalization ,Western Perspective / Western Centralism ,oriental studies,Edward Said,americanism,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Identity,Racial and National Identity ,racism,race,Asian Futurism,ethnological,racialism,,,,,,,,,,,,,,,
Identity,Black Identity,Afrofuturism,jim crowism,,,,,,,,,,,,,,,,,,
Identity,Gender Identity ,gender,neuter,LGBT,lesbian,gay,bisexual,transgender,masculine,machismo,,,,,,,,,,,
Identity,Feminism / Female ,feminist,womanism,women's liberation,women's movement,,,,,,,,,,,,,,,,
Identity,Other ,otherness,othering,orientalism,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Religion ,Religion ,church,cult,religiosity,christianism,muslim,Jesus,buddhism,shamanism,Allah,,,,,,,,,,,
Religion ,Myth ,mythology,gods,fairy story,fable,mythos,allegory,,,,,,,,,,,,,,
Religion ,Utopia ,,,,,,,,,,,,,,,,,,,,
Religion ,Death / Mourning ,death,decease,ruination,parting,mourning ,,,,,,,,,,,,,,,
Religion ,Mysticism ,ontologism,spiritualism,pietism,mystical experiences,,,,,,,,,,,,,,,,
Religion ,Psychoanalysis ,psychological therapy,talking therapy,mental health,cognitive-behavioral,insight-oriented,Freudian,interpretative,psychosexual,interpretation of dreams,oedipus complex,unconscious,ego,Freud,hypnosis,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Politics,Censorship ,free speech ,first amendment,freedom of speech,,,,,,,,,,,,,,,,,
Politics,Surveillance,monitoring ,supervision,,,,,,,,,,,,,,,,,,
Politics,Terrorism,911,11-Sep,,,,,,,,,,,,,,,,,,
Politics,Political Spectrum ,political positions,far-left,far-right,right-wing,radical centre,left-wing,extremist radical,liberal,,,,,,,,,,,,
Politics,Trump,,,,,,,,,,,,,,,,,,,,
Politics,War Related ,world war,Russian revolution,Russian civil war,armenian genocide,Holocaust,cold war,Israel war,Sudanese civil war,cuban revolution,vietnam war,Soviet-Afghan war,Iran-Iraq war,,,Gulf war,,,,,
Politics,Moral,moralistic,immoral,,,,,,,,,,,,,,,,,,
Politics,Measurement ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Art World ,Art World ,,,,,,,,,,,,,,,,,,,,
Art World ,Art History Related ,art history,,,,,,,,,,,,,,,,,,,
Art World ,Institutional Critique ,Michael Asher,Marcel Broodthaers,Andrea Fraser,Fred Wilson,Adrian Piper,Hans Haacke,,,,,,,,,,,,,,
